Module_ID,module_size,de_in_module,total_genes,total_de,hypergeom_p,expected_overlap,enrichment_ratio,de_category,hypergeom_p_adj,significant
Module_36,160,0,39220,4653,1,18.98215196328404,0,Female_Unique_annotated_with_FC,1,FALSE
Module_66,80,0,39220,4653,1,9.49107598164202,0,Female_Unique_annotated_with_FC,1,FALSE
Module_75,71,0,39220,4653,1,8.423329933707292,0,Female_Unique_annotated_with_FC,1,FALSE
Module_84,65,0,39220,4653,1,7.7114992350841405,0,Female_Unique_annotated_with_FC,1,FALSE
Module_90,62,0,39220,4653,1,7.355583885772565,0,Female_Unique_annotated_with_FC,1,FALSE
Module_91,61,0,39220,4653,1,7.23694543600204,0,Female_Unique_annotated_with_FC,1,FALSE
Module_05,1299,17,39220,2813,1,93.16896991330954,0.18246418325562583,Male_Unique_annotated_with_FC,1,FALSE
Module_102,51,0,39220,2813,1,3.65790413054564,0,Male_Unique_annotated_with_FC,1,FALSE
Module_105,50,0,39220,2813,1,3.586180520142784,0,Male_Unique_annotated_with_FC,1,FALSE
Module_106,48,0,39220,2813,1,3.442733299337073,0,Male_Unique_annotated_with_FC,1,FALSE
Module_110,45,0,39220,2813,1,3.227562468128506,0,Male_Unique_annotated_with_FC,1,FALSE
Module_111,44,0,39220,2813,1,3.15583885772565,0,Male_Unique_annotated_with_FC,1,FALSE
Module_112,44,0,39220,2813,1,3.15583885772565,0,Male_Unique_annotated_with_FC,1,FALSE
Module_118,42,0,39220,2813,1,3.0123916369199386,0,Male_Unique_annotated_with_FC,1,FALSE
Module_124,39,0,39220,2813,1,2.7972208057113717,0,Male_Unique_annotated_with_FC,1,FALSE
Module_125,39,0,39220,2813,1,2.7972208057113717,0,Male_Unique_annotated_with_FC,1,FALSE
Module_126,38,0,39220,2813,1,2.725497195308516,0,Male_Unique_annotated_with_FC,1,FALSE
Module_127,36,0,39220,2813,1,2.5820499745028047,0,Male_Unique_annotated_with_FC,1,FALSE
Module_128,34,0,39220,2813,1,2.438602753697093,0,Male_Unique_annotated_with_FC,1,FALSE
Module_130,34,0,39220,2813,1,2.438602753697093,0,Male_Unique_annotated_with_FC,1,FALSE
Module_133,31,0,39220,2813,1,2.223431922488526,0,Male_Unique_annotated_with_FC,1,FALSE
